EnvironmentID:ID,Name,:LABEL
14b69d560a0a3c75006b1d1b9ad6a1cc,FundOps Pricing Web (Unit),Environment
14b6d41b0a0a3c750185822ae335512a,FundOps Pricing Web (Intg),Environment
14b700ea0a0a3c7501531eda4b9eb6c8,FundOps Pricing Web (Accp),Environment
14b7a0760a0a3c75014488b891c7244a,FundOps Admin Tool Pricing Admin (Unit),Environment
14b7c4dd0a0a3c7501afb49beceb1d89,FundOps Admin Tool Pricing Admin (Intg),Environment
14b7ece00a0a3c750128b97b89cb0a7b,FundOps Admin Tool Pricing Admin (Accp),Environment
14b81d3a0a0a3c7500855cef0c58a327,FundOps Admin Tool Pricing Admin (PRD),Environment
14b846820a0a3c750081e56d39a70f7f,FundOps Admin Tool Pricing Admin (DR),Environment
150144855b9e1000da9f6cb43e4254e6,Voya Presents Web (DR),Environment
1549973e4f267e04b33bbfaf0310c786,Annuity GoodOrder (PRD),Environment
15bd02684f0f0200f6bd4b901210c7c6,Oracle Web Center Imaging POC & Conversion (UNIT),Environment
15ea03204f386240b33bbfaf0310c765,Genesys SIP Voice Solution (INTG),Environment
15fe397b650cbc84093f7431eb5dffa7,PeopleSoft Finance (DEV),Environment
162bc22730b86400b15c7cf32cb4b900,IRM Input DB (DR),Environment
16428c062c8c9908093fdb32c319c141,ACES VRU (DEV),Environment
16561f3cffd25000da9f646d8b649da2,AS OF MATURITIES (DR),Environment
16cac05fc50b4104cb04a554b84bda4d,Voya Access Batch Supplemental Statement Load (INTG),Environment
16fef1bb650cbc84093f7431eb5dff61,PeopleSoft Finance (PRD),Environment
16fff1d30a0a3c2500582a4674a6a49e,Omniplus - Somerset (DEV),Environment
172bc7e2871358c09f16c5a36c434d47,Genex - iAdmin Content Management Tool (INTG),Environment
174210975b5a1840da9f6cb43e4254c6,Workflow Direct (DEV),Environment
17542d064fd23688cfc9bfaf0310c781,Annuity Services (ACCP),Environment
17e193e54fc09e0003224b901210c720,Genesys Environment (INTG),Environment
1814df292c46b9001e22fa3cef9e24c4,Reporting Solutions Operations Database (PRD),Environment
1814df292c46b9001e22fa3cef9e24c5,Reporting Solutions Operations Database (UNIT),Environment
182b16190a0a3c7501ebe2ca1b74d711,TransactIt - DC (INTG),Environment
18370fe50a0a3c7501662fde98942488,PSRConnect (INTG),Environment
18375b450a0a3c7500828b8ac78ead78,PSRConnect (ACCP),Environment
184020b70a0a3c75006d048ccd99f138,Pweb (INTG),Environment
18404ce50a0a3c75008cfeef7bdf8d5e,Pweb (ACCP),Environment
18425f2a65813c4c093f7431eb5dffbf,Genex-GenericEnrollment (UNIT),Environment
185bbca04f127e40b33bbfaf0310c70f,Sponsor Authlookup Service (DR),Environment
187d537461f6a4001e2284eb97fec331,Annuity DTCC Fund Transfers (DR),Environment
18af6fc14fb27e00e52c605f0310c734,Online Services EOI Batch Processing (GEN) (INTG),Environment
18be71051873bd00cb338a5abca3acc2,TAI - Ceded Reinsurance (INTG),Environment
18bfef5587f7d4449f16c5a36c434d0b,Verasmart Call Accounting System (PRD),Environment
18ea10880a0a3c7500c02c4f0664fce5,VALUATIONS (DR),Environment
18efee0d4fdac300fc414b901210c7f9,Voya Consumption (DR),Environment
193e7bf64fcdee80e52c605f0310c762,MAX (PFIX),Environment
1998082e4f3b9e00cfc9bfaf0310c7e1,VDAO Straight Thru Processing Batch (PRD),Environment
19ce66a91c866980093fc21c941a5518,MUW CS Tables (VB app) (INTG),Environment
19f43a924fafbec0f6bd4b901210c709,Informatica INFA4 (PRD),Environment
1a0c06fbbc248a401e22bcd5946ebc5e,QDRO (INTG),Environment
1a11e56568cc4600cb33a3ae4d59f3c0,MUW UW Worksheet (UNIT),Environment
1a2b4766871358c09f16c5a36c434dc8,Genex - iAdmin Content Management Tool (UNIT),Environment
1a4275fe0a0a3c750156e93d9aac88c6,State Street Plus (PRD),Environment
1a48f13459e6f540cb3306b0f8f24a9a,MailIT daily ECOR reports (UNIT),Environment
1a57dd2a1c826d80093fc21c941a55b2,Oracle I/PM (ACCP),Environment
1a59551c6f5a4200889d38103c3ee4b9,GENEX - EaseformsProcess (UNIT),Environment
1ab5bbe7510d51001e222c9865e52d1b,State Street iPayBenefit EAI (INTG),Environment
1aefffac183b7d00cb338a5abca3aca2,Claims Center (ACCP),Environment
1af5fc096f258a00889d38103c3ee441,FE Household Batch (INTG),Environment
1af8444e4fc4e64081a9605f0310c787,Voya Pricing Portal (ACCP),Environment
1b14d6be30c2514478aa09ac9e71acfc,Genex - eInfoDFM (ACCP),Environment
1b29c90fa90869001e22258c8f59f4ea,Medical Underwriting Workflow (UNIT),Environment
1b2b4b62871358c09f16c5a36c434d0f,Genex - eCalc (INTG),Environment
1b80ef7265cdbc4c093f7431eb5dffc9,Genex-ProcessSharedPlans_PTL (SYST),Environment
1bd7f6d409a66400cb33cf5992284d0e,EDelivery Customer Reports (PRD),Environment
1bff7658876a10009f16c5a36c434df8,Notification Service (DR),Environment
1c2bc362871358c09f16c5a36c434d91,Genex - eKbase (INTG),Environment
1c35cd600a0a3c25003b442702c417c0,GARWin JMT (PRD),Environment
1c3631ce0a0a3c2501bb9a72cc325fce,GARWin JMT (QA),Environment
1c3665e60a0a3c250137959657d1c666,GARWin JMT (DEV),Environment
1c802fb265cdbc4c093f7431eb5dff46,Genex-ProcessSharedPlans_PTL (UNIT),Environment
1c95a84c5bd65c00da9f6cb43e4254b9,MAX (DR),Environment
1cbf36b34fecee00b33bbfaf0310c7c0,Dynamic Forms Webservice v2 (ACCP),Environment
1cfc3bb45b1e1000da9f6cb43e4254b3,DISBURSEMENT MANAGEMENT SYSTEM -IBSS (DR),Environment
